,F,initialLearningRate,learningRateDecay,regularization,momentum,min_train_loss,min_val_loss
428,10,0.1,0.1,0.04,0.99,0.984632437,1.159002293
34,8,0.01,0.001,0.05,0.9,1.110476672,1.159086522
62,8,0.01,0.1,0.02,0.99,1.108824268,1.159094574
190,9,0.01,0.01,0.03,0.9,1.11038536,1.159106431
265,9,0.1,0.01,0.04,0.9,1.007715458,1.159162246
315,10,0.01,0.001,0.03,0.5,1.105095255,1.159209135
209,9,0.01,0.1,0.03,0.99,1.11436947,1.159236462
348,10,0.01,0.1,0.02,0.5,1.109107144,1.159422259
163,9,0.01,0.001,0,0.9,1.10703229,1.159528286
36,8,0.01,0.01,0,0.5,1.11036984,1.159597545
202,9,0.01,0.1,0.01,0.9,1.111366653,1.159612035
291,10,0.01,0.0001,0.01,0.5,1.105658111,1.159612678
397,10,0.1,0.01,0,0.9,1.018159221,1.159750533
173,9,0.01,0.001,0.03,0.99,1.107230698,1.159784775
192,9,0.01,0.01,0.04,0.5,1.110943467,1.159787863
41,8,0.01,0.01,0.01,0.99,1.113183665,1.159978756
415,10,0.1,0.1,0,0.9,0.919159849,1.160113887
32,8,0.01,0.001,0.04,0.99,1.107253993,1.160259698
74,8,0.1,0.0001,0,0.99,0.973413776,1.160268557
230,9,0.1,0.0001,0.04,0.99,1.02361926,1.160364149
14,8,0.01,0.0001,0.04,0.99,1.110351446,1.160404628
127,8,0.1,0.1,0,0.9,0.975732638,1.160420543
155,9,0.01,0.0001,0.03,0.99,1.105922899,1.160460799
353,10,0.01,0.1,0.03,0.99,1.108853106,1.160490372
358,10,0.01,0.1,0.05,0.9,1.113145549,1.160597639
303,10,0.01,0.0001,0.05,0.5,1.103428651,1.160617518
298,10,0.01,0.0001,0.03,0.9,1.098226832,1.16074685
194,9,0.01,0.01,0.04,0.99,1.111504557,1.16083418
5,8,0.01,0.0001,0.01,0.99,1.107770806,1.160951492
158,9,0.01,0.0001,0.04,0.99,1.114479515,1.161062245
321,10,0.01,0.001,0.05,0.5,1.104255876,1.16121771
52,8,0.01,0.01,0.05,0.9,1.113817414,1.161226819
320,10,0.01,0.001,0.04,0.99,1.111201434,1.161356329
111,8,0.1,0.01,0.01,0.5,0.921848292,1.162013201
107,8,0.1,0.001,0.05,0.99,1.068825508,1.162577295
68,8,0.01,0.1,0.04,0.99,1.115270073,1.162577978
252,9,0.1,0.01,0,0.5,0.879516364,1.163774582
253,9,0.1,0.01,0,0.9,1.009618221,1.163880262
212,9,0.01,0.1,0.04,0.99,1.115243361,1.164142232
110,8,0.1,0.01,0,0.99,1.071045187,1.164345897
384,10,0.1,0.001,0.02,0.5,0.916881418,1.165570651
414,10,0.1,0.1,0,0.5,0.889180658,1.167417231
